hop,other_preference,raven_acc,other_acc,agreement
hop0,panda,0.8405337564659328,0.8346344419300502,0.9606526939711465
hop0,cat,0.8405337564659328,0.8391566840559789,0.9760236365946652
hop0,dog,0.8405337564659328,0.8388573405926931,0.9739829813960263
hop0,lion,0.8405337564659328,0.8387735938286622,0.9753206557368495
hop0,penguin,0.8405337564659328,0.838972625308855,0.9767464255574315
hop0,dolphin,0.8405337564659328,0.8390366018769361,0.9764785813899121
hop0,eagle,0.8405337564659328,0.8385124883274027,0.9757610497718011
hop0,elephant,0.8405337564659328,0.8387422130863134,0.9751928665740476
hop0,wolf,0.8405337564659328,0.8380538801077435,0.9719396970923555
hop0,otter,0.8405337564659328,0.8387112073964015,0.9775951584734738
hop0,raven,0.8405337564659328,0.8375644023751676,0.9720702066824429
hop0,octopus,0.8405337564659328,0.8376535316857825,0.9700464138182567
hop1,panda,0.8822213700484112,0.8747335871350451,0.9583008757431973
hop1,cat,0.8822213700484112,0.8818349826907329,0.9742880770814125
hop1,dog,0.8822213700484112,0.8818834251731769,0.9722965937305706
hop1,lion,0.8822213700484112,0.8806635535919093,0.9740940738040873
hop1,penguin,0.8822213700484112,0.8807525392677401,0.9751840083945209
hop1,dolphin,0.8822213700484112,0.8809814396751076,0.9750849844819295
hop1,eagle,0.8822213700484112,0.8794847101336003,0.9742356648524667
hop1,elephant,0.8822213700484112,0.8811651672408384,0.9735612865758586
hop1,wolf,0.8822213700484112,0.8796314918606906,0.9699514079988927
hop1,otter,0.8822213700484112,0.8803599212369048,0.9761647501296237
hop1,raven,0.8822213700484112,0.8782070789778513,0.9702884265923125
hop1,octopus,0.8822213700484112,0.8790950326341227,0.9680218587379651
hop2,panda,0.8891731800670871,0.8817016267179875,0.957846822553229
hop2,cat,0.8891731800670871,0.8891720663459103,0.9739550103608005
hop2,dog,0.8891731800670871,0.8894843084800156,0.9719665196009525
hop2,lion,0.8891731800670871,0.8880133107407925,0.9737661128433106
hop2,penguin,0.8891731800670871,0.8876115050124866,0.9750311990376845
hop2,dolphin,0.8891731800670871,0.8881279970521859,0.9746910743488217
hop2,eagle,0.8891731800670871,0.886660821780627,0.974080999301484
hop2,elephant,0.8891731800670871,0.8883892602100131,0.9733094244636716
hop2,wolf,0.8891731800670871,0.8866098143608525,0.9698441524902882
hop2,otter,0.8891731800670871,0.8871563795242777,0.9757647799886339
hop2,raven,0.8891731800670871,0.8854012663843572,0.9697712756801715
hop2,octopus,0.8891731800670871,0.886351956138022,0.96769791083649
hop3,panda,0.8909156953197916,0.8833019571202932,0.9579702414127137
hop3,cat,0.8909156953197916,0.8912190087619645,0.9742313061350895
hop3,dog,0.8909156953197916,0.8916442259785524,0.9722433099806129
hop3,lion,0.8909156953197916,0.8898298225076419,0.9734044411349007
hop3,penguin,0.8909156953197916,0.8893216243525994,0.974631759757851
hop3,dolphin,0.8909156953197916,0.8898940017436388,0.9749740724524878
hop3,eagle,0.8909156953197916,0.8884612137145235,0.9740096766494662
hop3,elephant,0.8909156953197916,0.890437999999633,0.9733455667219253
hop3,wolf,0.8909156953197916,0.8885061225782002,0.9690892841340094
hop3,otter,0.8909156953197916,0.8886904682475737,0.9752781001154273
hop3,raven,0.8909156953197916,0.8875628494458675,0.9696864960564728
hop3,octopus,0.8909156953197916,0.8883116010534592,0.9682507293810827
hop4,panda,0.8892417236289929,0.8821246666009408,0.9583585459957593
hop4,cat,0.8892417236289929,0.8896001765058213,0.9744747865203954
hop4,dog,0.8892417236289929,0.8896529933688667,0.972522181526971
hop4,lion,0.8892417236289929,0.8883201257566707,0.9741272738980323
hop4,penguin,0.8892417236289929,0.8879114778283843,0.9749929909588214
hop4,dolphin,0.8892417236289929,0.8884245769796771,0.9750422641620927
hop4,eagle,0.8892417236289929,0.8870372354507928,0.9740794156104455
hop4,elephant,0.8892417236289929,0.8890119542176879,0.9738250152451923
hop4,wolf,0.8892417236289929,0.8868305063058091,0.9697330456068697
hop4,otter,0.8892417236289929,0.8872689818187349,0.9759729339430051
hop4,raven,0.8892417236289929,0.8855984296823052,0.9697663567067442
hop4,octopus,0.8892417236289929,0.8869363580861919,0.9686291595497497
hop5,panda,0.888843602900706,0.8818771384713794,0.958586271684483
hop5,cat,0.888843602900706,0.8893259270340955,0.9744627070253754
hop5,dog,0.888843602900706,0.889455679872884,0.9727234122013917
hop5,lion,0.888843602900706,0.8877979773774238,0.9740060413683178
hop5,penguin,0.888843602900706,0.8872583604437609,0.9748010610669448
hop5,dolphin,0.888843602900706,0.8879569807500027,0.9751133450386203
hop5,eagle,0.888843602900706,0.8865461388242928,0.9741519484284589
hop5,elephant,0.888843602900706,0.888351015033463,0.9737204271946848
hop5,wolf,0.888843602900706,0.8862683816139072,0.9694186022708053
hop5,otter,0.888843602900706,0.8866518219757769,0.9758690613258352
